,Denmark,Estonia,Finland,Iceland,Norway,Slovak Republic,Slovenia,Sweden
1953,46.67,,25.28,,36.21,,,
1954,40.22,,23.97,,35.28,,,
1955,44.5,,24.32,,37.74,,,
1956,46.41,,26.74,,37.74,,,
1957,43.24,,27.94,,36.49,,,
1958,42.77,,27.1,36.77,36.19,,,45.13
1959,45.09,,24.75,48.19,38.72,,,43.3
1960,46.08,,26.89,29.66,38.95,,,43.31
1961,47.11,,24.77,40.71,39.41,,,46.37
1962,47.56,,28.55,41.37,38.98,,,47.89
1963,47.06,,28.38,44.11,39.78,,24.08,46.91
1964,48.72,,29.19,52.8,41.9,,21.05,48.11
1965,50.54,,30.33,52.39,40.85,,28.42,47.02
1966,49.87,,30.92,44.55,41.86,,24.36,52.41
1967,53.54,,31.55,44.66,44.78,,27.68,46.1
1968,55.39,22.09,31.45,48.73,43.86,30.28,25.88,49.33
1969,52.05,21.11,35.21,47.44,42.9,27.3,28.53,53.87
1970,54.85,23.59,33.49,40.31,42.93,28.8,31.02,51.39
1971,54.75,25.42,36.53,51.38,45.94,29.84,29.19,51.36
1972,56.26,26.58,35.26,47.12,46.06,29.27,33.22,52.75
1973,56.09,23.53,39.13,50.63,45.8,25.17,33.29,53.02
1974,58.2,26.66,42.08,62.71,49.31,26.31,36.78,54.49
1975,62.83,28.21,39.21,59.9,49.27,30.16,35.26,52.51
1976,62.97,28.45,41.98,49.57,52.15,28.67,30.37,55.76
1977,64.68,25.94,41.56,60.53,48.39,30.64,37.04,59.37
1978,66.58,29.99,42.47,57.4,48.61,29.93,35.68,57.76
1979,62.05,27.5,42.46,57.48,51.78,29.96,37.81,60.66
1980,60.81,31.95,45.98,60.15,52.02,31.95,40.36,57.12
1981,65.39,28.54,45.79,69.11,49.02,29.71,39.26,58.0
1982,66.23,31.92,46.32,61.35,52.65,32.59,40.14,57.12
1983,70.62,29.16,48.96,57.22,52.96,31.54,37.1,56.52
1984,65.43,35.73,49.82,66.37,52.12,33.44,38.24,57.48
1985,65.98,32.61,50.89,71.98,55.69,34.3,44.16,59.59
1986,70.25,33.29,56.32,66.31,57.44,35.1,45.05,59.12
1987,71.79,34.81,59.53,80.88,52.31,35.71,46.54,62.92
1988,74.58,34.0,60.55,92.99,54.36,35.99,47.1,65.29
1989,74.01,36.4,61.53,80.25,53.58,37.46,46.94,66.54
1990,71.54,36.61,61.97,76.4,53.82,34.92,48.47,73.15
1991,75.76,37.89,65.2,57.51,59.41,40.45,42.64,71.48
1992,83.41,34.17,65.42,70.93,57.66,41.76,49.11,67.81
1993,76.87,38.62,66.08,70.83,60.74,39.68,48.29,66.2
1994,78.12,40.72,66.57,81.26,61.88,40.78,47.7,73.61
1995,79.77,40.85,70.77,73.01,64.12,40.39,51.4,72.26
1996,82.94,45.93,73.05,59.23,72.57,45.14,53.42,72.1
1997,82.14,45.05,71.44,84.26,75.49,43.8,57.75,73.1
2002,88.7,47.7,84.7,90.0,74.8,48.0,58.9,87.8
